,Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25,Sensor-26,Sensor-27,Sensor-29,Sensor-30,Sensor-33,Sensor-34,Sensor-38,Sensor-39,Sensor-40,Sensor-41,Sensor-42,Sensor-44,Sensor-45,Sensor-46,Sensor-47,Sensor-48,Sensor-49,Sensor-51,Sensor-52,Sensor-54,Sensor-55,Sensor-56,Sensor-57,Sensor-58,Sensor-59,Sensor-60,Sensor-62,Sensor-63,Sensor-64,Sensor-65,Sensor-66,Sensor-67,Sensor-68,Sensor-69,Sensor-71,Sensor-72,Sensor-74,Sensor-76,Sensor-77,Sensor-78,Sensor-79,Sensor-80,Sensor-81,Sensor-82,Sensor-83,Sensor-84,Sensor-85,Sensor-86,Sensor-87,Sensor-88,Sensor-89,Sensor-90,Sensor-91,Sensor-92,Sensor-93,Sensor-94,Sensor-95,Sensor-96,Sensor-100,Sensor-101,Sensor-102,Sensor-103,Sensor-104,Sensor-105,Sensor-108,Sensor-109,Sensor-110,Sensor-111,Sensor-112,Sensor-113,Sensor-114,Sensor-115,Sensor-116,Sensor-117,Sensor-118,Sensor-119,Sensor-120,Sensor-121,Sensor-122,Sensor-123,Sensor-124,Sensor-127,Sensor-129,Sensor-130,Sensor-132,Sensor-133,Sensor-134,Sensor-135,Sensor-136,Sensor-137,Sensor-138,Sensor-139,Sensor-140,Sensor-141,Sensor-143,Sensor-144,Sensor-145,Sensor-146,Sensor-147,Sensor-148,Sensor-149,Sensor-151,Sensor-152,Sensor-153,Sensor-156,Sensor-157,Sensor-160,Sensor-161,Sensor-162,Sensor-163,Sensor-164,Sensor-165,Sensor-166,Sensor-167,Sensor-168,Sensor-169,Sensor-170,Sensor-171,Sensor-172,Sensor-173,Sensor-174,Sensor-176,Sensor-177,Sensor-178,Sensor-181,Sensor-182,Sensor-183,Sensor-184,Sensor-185,Sensor-189,Sensor-196,Sensor-197,Sensor-198,Sensor-199,Sensor-200,Sensor-201,Sensor-202,Sensor-203,Sensor-204,Sensor-205,Sensor-206,Sensor-208,Sensor-209,Sensor-211,Sensor-212,Sensor-213,Sensor-214,Sensor-215,Sensor-216,Sensor-217,Sensor-218,Sensor-219,Sensor-220,Sensor-221,Sensor-222,Sensor-223,Sensor-224,Sensor-225,Sensor-226,Sensor-228,Sensor-229,Sensor-239,Sensor-240,Sensor-245,Sensor-246,Sensor-247,Sensor-248,Sensor-249,Sensor-253,Sensor-254,Sensor-256,Sensor-268,Sensor-269,Sensor-270,Sensor-317,Sensor-334,Sensor-344,Sensor-346,Sensor-347,Sensor-359,Sensor-368,Sensor-413,Sensor-419,Sensor-420,Sensor-424,Sensor-433,Sensor-434,Sensor-439,Sensor-440,Sensor-461,Sensor-469,Sensor-473,Sensor-481,Sensor-483,Sensor-484,Sensor-485,Sensor-486,Sensor-487,Sensor-488,Sensor-489,Sensor-490,Sensor-500,Sensor-501,Sensor-511,Sensor-512,Sensor-547,Sensor-548,Sensor-549,Sensor-550,Sensor-551,Sensor-552,Sensor-556,Sensor-559,Sensor-560,Sensor-563,Sensor-564,Sensor-565,Sensor-566,Sensor-571,Sensor-572,Sensor-573,Sensor-579,Sensor-580,Sensor-582,Sensor-583,Sensor-584,Good/Bad
0,2968.33,2476.58,2216.7333,1748.0885,1.1127,97.5822,0.1242,1.53,-0.0279,-0.004,0.9468,198.1219,6.0959,416.595,9.5431,0.9686,12.4349,1.4188,-5349.75,2663.5,-3855.5,10126.6667,1.265,1.986,75.4333,1.4,83.6583,8.5596,66.0405,86.7827,119.4242,79.71,2.849,358.1082,10.2528,128.6364,727.6867,1.3467,142.3127,629.0573,203.8858,4.549,4.786,2887.0,0.9215,0.9506,4.6004,2.4182,10.5336,111.0545,14.0237,17.5818,24.3727,703.314,1.1051,145.1155,615.0336,129.6649,468.2663,-0.0158,-0.0631,0.0448,-0.0053,-0.012,-0.0122,-0.0453,0.1055,8.3051,0.1448,0.1083,2.4044,0.9906,1816.1957,0.1569,8966.2599,-0.0468,0.0,-0.0002,0.0,0.0,-0.0037,0.0002,0.0,-0.0156,-0.0105,0.0001,-0.0164,-0.0644,0.9793,101.3766,232.4647,0.4601,0.9609,0.0,773.9219,0.9909,58.6677,0.6019,0.98,6.2643,15.79,4.817,15.84,2.76,3.272,-0.4258,0.9968,2.2989,998.6109,37.8933,112,173.7,187.2,66.5,1062.2041,0.2942,6.31,0.0042,0.1481,0.076,0.0329,0.0266,7.6634,4.901,7.409,0.3048,0.22,0.0397,461,375,1960,1711,0.119,0.089,0.22,1.7,2.6,0.164,0.344,0.5693,0.0988,0.2275,0.4025,0.6599,0.3532,0.117,19.31,0.496,5.58,25.466,0.1801,55.026,0.267,4.48,18.99,0.377,5.05,22.17,4.48,7.592,31.051,0.0809,7.39,22.17,99.106,0.0797,0.1163,0.0592,0.0296,0.0916,0.0135,0.0374,0.0508,3.5914,0.0015,0.0104,0.0563,0.0008,156.333,0.0283,983.7998,0.0096,0.014,0.0045,0.0044,0.0028,1.0247,3.6149,0.0193,0.0192,2.3929,0.0362,0.2092,0.0911,12.117,3.628,5.96,5.9317,7.4814,6.2091,2.7828,0.0029,0.0018,60.7637,272.0358,821.2168,80.3982,50.8365,16.896,185.7143,161.1354,26.9886,185.2632,158.09,76.4324,503.6335,184.3837,132.1429,561.1374,764.9269,110.4294,82.5152,48.1517,0.0,0.0,43.0108,0.0,,,,,,,,0.9815,0.5123,265.37,0.717,5.18,0.2259,534.1482,1.6633,10.92,,,,0.5004,0.012,-1
1,2961.04,2506.43,2170.0666,1364.5157,1.5447,96.77,0.123,1.3953,0.0084,0.0062,0.9461,204.6134,5.1756,406.329,10.7168,0.972,12.5531,1.4372,-5714.25,2573.5,-2819.5,-1472.75,1.3163,2.011,71.3222,1.9889,86.1155,8.5801,65.8602,86.9331,119.2266,79.31,3.331,357.69,10.4125,120.9055,717.3122,1.4512,150.5109,629.1064,227.0841,,,,,,,4.6209,10.9223,105.5264,17.8428,15.3791,22.4441,694.8681,1.0804,152.5809,611.2636,95.4405,469.8232,0.0263,-0.0319,0.0373,0.0095,-0.0092,0.0147,-0.068,0.0176,7.2257,0.1284,,2.3741,0.9906,1816.1957,0.1583,8772.49,0.0,0.0003,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,-0.0093,-0.0004,0.0,0.0,,,,0.4634,0.9624,0.0,757.1382,0.9906,58.6659,0.6016,0.9658,6.4478,15.59,4.44,15.61,2.511,3.232,-0.1419,0.9988,2.3499,986.0991,39.537,139,86.3,96.0,77.2,542.931,0.1541,6.86,0.0053,0.0882,0.087,0.0647,0.0257,7.2291,8.41,22.042,0.4588,0.3,0.0392,1049,478,3399,3075,0.082,0.155,0.216,1.5,1.3,0.111,0.503,0.7151,0.0325,0.2842,0.6629,0.9018,0.2087,0.242,19.1,0.461,8.37,31.159,0.1381,53.404,,4.84,20.95,0.269,7.62,19.29,4.84,3.343,31.736,0.0843,9.11,19.29,58.565,0.0616,0.0512,0.0573,0.0352,0.0727,0.1037,0.0364,0.0352,4.6083,0.0032,,0.0288,0.0008,156.333,0.0546,827.7998,0.0122,0.0108,0.0046,0.0059,,,,0.0394,0.0089,3.1193,0.0297,0.5065,0.0917,16.524,4.2578,5.9229,6.6325,5.7373,4.1085,3.4842,,0.0,39.7893,0.0,0.0,162.4921,120.5533,208.7931,65.3631,68.0054,23.5173,104.7413,108.111,61.3628,233.8316,160.6275,153.5164,369.5538,785.9459,706.644,53.4901,200.2845,0.0,851.2315,49.5289,0.0,1.4404,412.458,75.006,0.5099,18.56,2.32,35.4007,0.9811,0.4201,264.272,0.5671,4.98,0.0877,535.9527,2.2638,9.62,,,,0.4994,0.0115,1
2,3072.03,2500.68,2205.7445,1363.1048,1.0518,101.8644,0.122,1.3896,0.0138,0.0,0.9656,199.5093,4.8205,414.1385,10.0666,0.9746,12.6257,1.4231,-5538.0,2971.75,-4168.5,4729.5,1.2942,1.9743,73.4778,0.8778,83.7568,8.2981,65.9373,86.6174,119.9514,80.57,3.675,358.8255,10.2234,129.1882,729.5739,1.3843,143.5227,631.5364,245.7086,4.61,4.871,2863.0,0.9252,0.9463,4.5938,2.2336,10.6156,111.4218,12.5904,17.7664,20.5025,709.0714,1.5049,149.6727,620.2727,227.2577,471.5298,0.0038,-0.007,-0.0494,0.0588,-0.0092,-0.0023,-0.0168,0.0196,7.2528,0.1356,0.1081,2.4079,0.9898,1925.1642,0.2018,9250.51,0.0,-0.0032,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0098,-0.0006,0.0,0.0,0.9799,101.6138,232.4957,,0.9535,0.0,803.5868,0.9908,59.3162,0.598,0.9592,6.4202,15.9,3.816,15.85,2.911,3.394,0.0,1.002,2.3817,1010.6921,37.117,91,214.7,182.0,50.0,484.67,0.2233,10.53,0.0028,0.0979,0.0531,0.0626,0.0163,7.7448,7.679,10.643,0.419,0.33,0.0635,526,687,1335,1943,0.096,0.162,0.058,3.4,3.1,0.221,0.483,0.5941,0.1229,0.2147,0.497,0.7974,0.2244,0.142,16.47,0.544,5.06,27.896,0.0776,69.151,0.255,7.85,19.45,0.133,7.58,19.07,7.85,14.001,37.846,0.0928,5.98,25.16,48.815,0.0805,0.042,0.0646,0.0474,0.0686,0.1451,0.0759,0.0495,1.7607,0.0012,0.0086,0.0344,0.0021,146.4335,0.0333,1563.0996,0.0161,0.0099,0.0049,0.0047,0.0028,0.6529,2.2691,,0.0229,2.6597,0.0429,0.303,0.1102,17.561,5.2328,5.5864,6.3306,7.3274,6.0441,2.1054,0.0021,0.0,35.5563,386.0064,0.0,159.3003,32.0259,41.0826,353.1646,647.8827,28.1435,351.4449,151.4644,21.48,0.0,597.8648,130.8354,80.6122,748.704,0.0,453.1343,252.2293,502.1442,0.0,49.8094,800.0,1.3531,395.638,74.17,0.8341,19.59,1.33,61.6419,0.9929,0.2454,266.004,0.8756,11.18,0.1832,534.1482,1.6633,10.92,,,,0.4987,0.0118,-1
3,3021.83,2419.83,2205.7445,1363.1048,1.0518,101.8644,0.122,1.4108,-0.0046,-0.0024,0.9589,199.6262,13.3691,411.8383,10.6553,0.9736,12.4349,1.4148,-5466.75,2605.5,-5451.25,9022.0,1.2997,1.971,73.6111,1.5333,83.8148,8.572,65.8501,86.8066,119.2172,79.38,2.951,358.8382,10.3015,124.7945,722.5888,1.3719,142.3773,626.01,201.841,4.549,4.786,2887.0,0.9215,0.9506,4.6004,5.2064,10.7358,110.0009,18.3982,14.7936,21.7926,700.7962,1.0921,140.5409,607.6118,108.2505,465.9612,-0.0073,-0.0085,-0.0181,-0.0013,-0.0308,-0.0077,-0.0198,0.1173,7.0195,0.1275,0.1068,2.3665,0.9865,1887.9845,0.1629,8812.8499,0.0,0.0026,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0102,0.0004,0.0,0.0,0.9789,101.3168,231.1416,0.4568,0.9296,0.0,744.1374,0.9913,58.6223,0.5948,0.9617,6.4054,15.9,3.816,15.85,2.911,3.394,0.0,1.002,2.3817,1010.6921,37.117,105,89.5,73.7,50.0,484.67,0.2233,10.53,0.0028,0.0993,0.0622,0.0473,0.0232,7.7583,14.59,7.691,0.507,0.22,0.0413,390,1012,4811,6368,0.158,0.154,0.415,1.2,1.3,0.119,0.507,0.7743,0.0514,0.4274,0.5316,0.8238,0.2493,0.205,19.81,0.513,4.29,26.187,0.1088,37.983,0.267,5.74,22.77,0.33,5.0,22.12,5.74,7.148,29.725,0.0692,5.7,22.12,76.937,0.0721,0.0358,0.0223,0.0391,0.0721,0.1013,0.0941,0.0337,5.3641,0.0043,0.0073,0.0577,0.0195,69.7289,0.0415,1059.7998,0.0131,0.0089,0.0038,0.0039,0.0033,1.0825,3.7902,0.018,0.0323,2.6328,0.0359,0.273,0.1102,17.561,5.2328,6.2473,6.9631,6.8607,5.4152,2.629,0.0019,0.0,35.5563,0.0,0.0,109.1323,88.255,70.583,84.7826,83.6066,18.8183,110.2497,120.2292,71.0731,989.3654,422.4189,123.2044,0.0,234.0909,0.0,474.0554,28.7298,509.9757,0.0,37.3464,0.0,0.488,405.192,72.286,0.153,18.57,0.3,31.3507,0.9794,0.1459,264.272,0.5671,4.98,0.0877,534.1482,1.6633,10.92,,,,0.4934,0.0123,-1
4,3006.95,2435.34,2189.8111,1084.6502,1.1993,104.8856,0.1234,1.5094,-0.0046,0.0121,0.9674,202.6499,3.448,397.9388,9.4594,0.9607,12.5094,1.4113,-6397.75,2959.25,-3346.75,1276.0,1.0155,1.8798,66.7889,2.8,86.6785,9.0121,67.1173,86.6797,117.6884,79.05,3.395,356.6845,10.0813,127.2273,722.0166,1.2517,136.6336,620.5454,47.3129,4.59,4.868,2858.0,0.9256,0.943,4.6622,-0.5718,10.7258,106.6555,13.9054,20.5718,26.247,695.7695,0.9357,145.1091,606.64,89.9077,,0.0096,-0.008,-0.0135,-0.0114,-0.0016,-0.0005,-0.0239,0.0127,8.4569,0.1336,,2.3909,0.9909,1828.6054,0.2101,8106.16,-0.0087,0.0016,-0.0003,-0.0002,0.0,-0.0205,-0.0001,-0.0002,0.0031,-0.0106,0.0003,0.0323,0.0189,,,,0.4598,0.9403,0.0,674.4338,0.9909,57.9674,0.597,0.9642,6.1917,15.9,3.816,15.85,2.911,3.394,0.0,1.002,2.3817,1010.6921,37.117,140,164.2,158.9,48.2998,722.753,0.3862,10.23,0.0039,0.1918,0.0609,0.0423,0.0158,7.3618,7.31,17.928,0.3687,0.19,0.0519,282,264,809,247,0.047,0.033,0.113,2.2,1.1,0.133,0.159,0.7555,0.1141,0.3622,0.6073,0.6522,0.2826,0.218,18.22,0.381,7.78,27.929,0.5184,34.484,0.276,9.34,23.4,0.227,7.71,24.36,9.34,15.58,38.091,0.1821,6.68,24.36,46.567,0.0788,0.0456,0.0297,0.083,0.0713,0.0777,0.0906,0.0589,2.5066,0.0043,,0.0757,0.0037,137.6248,0.0722,876.2998,0.0136,0.0163,0.0062,0.0046,,,,0.0156,0.0501,2.2723,0.0255,0.2628,0.1102,17.561,5.2328,5.009,6.9142,7.2144,,,,0.0048,66.6347,0.0,350.3106,212.007,24.1727,19.3574,39.2857,72.5894,72.885,0.0,175.1839,51.7942,817.1095,568.2243,219.5933,729.6703,0.0,0.0,379.8742,464.6943,856.6929,0.0,58.6982,0.0,1.0512,402.238,71.69,0.6033,17.04,1.23,57.3942,1.0169,0.5697,264.272,0.5671,4.98,0.0877,530.6746,2.0193,10.8,,,,0.4987,0.0145,-1
5,3003.72,2537.66,2210.7778,2008.9216,1.1351,91.1078,0.124,1.394,-0.0073,0.0006,0.9786,202.2704,5.8907,408.5205,9.4707,0.9782,12.512,1.4027,-5515.5,2633.25,-3000.5,688.0,1.2615,1.9798,70.3,2.1111,84.361,8.8624,66.2314,86.3364,118.3086,81.74,2.673,352.4527,10.1813,126.6518,716.5268,1.1319,140.9127,620.0173,64.9917,4.584,4.834,2855.0,0.9314,0.9483,4.6356,7.0273,10.5412,113.6791,11.7043,12.9727,16.5255,700.0013,1.0274,143.7555,609.7309,110.9625,,0.0035,-0.0243,-0.042,0.0336,-0.0087,-0.0141,-0.0126,0.0245,7.5155,0.1334,0.1147,2.4103,0.9698,1757.2131,0.2019,8292.1599,0.0107,0.0005,0.0014,0.0,-0.0001,-0.0028,-0.0001,0.0,-0.0345,-0.011,0.0,0.0113,0.0316,0.9803,101.8453,232.4033,0.4617,0.9617,0.0,732.6445,0.9911,57.9215,0.6118,0.9705,6.1464,15.9,3.816,15.85,2.911,3.394,0.0,1.002,2.3817,1010.6921,37.117,105,238.8,70.3,75.5,1047.1229,0.3559,11.47,0.0078,0.1257,0.0788,0.0567,0.0068,7.1877,6.985,15.699,0.4143,0.2,0.0707,551,375,4872,27784,0.11,0.081,0.252,2.9,1.5,0.176,0.452,0.6458,0.1516,0.3272,0.631,0.8332,0.3278,0.26,18.01,0.519,4.74,26.451,0.0845,12.48,0.259,6.65,15.7,0.384,6.93,16.65,6.65,7.556,33.696,0.1266,5.34,24.95,54.536,0.0767,0.0753,0.0259,0.0272,0.068,0.1021,0.0844,0.0184,4.9299,0.0018,0.0092,0.0495,0.0027,67.8055,0.0472,363.0,0.0099,0.011,0.0028,0.0031,0.0046,0.5928,4.3682,0.0168,0.0128,1.6236,0.0292,0.161,0.1102,17.561,5.2328,5.2684,5.0845,7.114,,,0.0025,0.0031,52.1236,0.0,0.0,118.5762,162.3729,0.0,71.0526,111.1579,19.2024,94.6313,142.2554,49.1481,0.0,310.5155,61.7402,80.8321,778.2546,721.5548,667.1937,75.1788,0.0,800.0,25.4835,0.0,0.5694,400.992,71.558,0.3853,15.04,0.75,67.6679,0.9978,0.6573,250.176,0.828,6.72,0.2729,529.7436,2.2313,7.19,0.0099,0.0113,114.2878,0.5033,0.0154,-1
6,2953.59,2504.86,2224.6778,1308.6479,1.3907,101.1333,0.1208,1.4517,0.0069,0.0094,0.9551,199.6867,6.2485,401.972,10.426,0.9757,12.5094,1.4144,-5617.5,2682.5,-3396.5,-5769.25,1.295,1.9943,72.6222,2.0222,84.525,8.7932,66.2803,86.7223,118.023,79.27,3.05,352.66,10.1329,131.4773,724.4595,1.349,142.9009,627.0382,223.6237,4.525,4.775,2873.0,0.9258,0.9475,4.6486,2.1145,10.4815,113.5918,11.6673,17.8855,25.5062,698.9534,0.995,149.0973,615.3709,105.7867,,0.0091,-0.0742,-0.0153,-0.0373,0.0063,0.0162,-0.024,0.0142,8.014,0.1364,,2.4039,0.9922,1713.0425,0.1947,9203.79,-0.0528,-0.0021,0.0007,0.0,0.0,-0.0335,0.0002,-0.0001,-0.0417,-0.0124,0.0005,-0.0869,-0.0932,,,,0.4612,0.9581,0.0,775.3516,0.9915,58.1372,0.5989,0.9675,6.3057,15.75,3.235,15.8,2.783,3.153,0.7096,0.9962,2.2802,998.0122,37.2972,122,69.5,46.8,51.5,184.64,0.33,5.65,0.0033,0.1055,0.0613,0.0499,0.0193,6.3418,5.66,11.998,0.4686,0.19,0.0884,284,463,14857,24439,0.171,0.086,0.132,5.8,1.3,0.189,0.686,0.8986,0.1371,0.3487,0.6637,0.9576,0.3441,0.345,15.94,0.431,4.71,28.849,0.0897,50.09,0.259,6.21,15.29,0.387,9.95,22.58,6.21,7.1851,34.618,0.1587,7.74,22.58,63.125,0.0994,0.0369,0.022,0.0788,0.0771,0.0164,0.0843,0.0297,3.3297,0.004,,0.0303,0.0018,127.5157,0.03,611.2002,0.0163,0.0159,0.0042,0.0094,,,,0.0428,0.0117,2.1441,0.0173,0.2044,0.044,31.404,4.1345,5.1897,5.0323,8.0547,,,,0.0028,14.1092,886.7993,532.2667,90.5824,437.4209,423.6079,64.2857,113.5514,22.3992,293.6801,193.5325,59.6719,0.0,49.697,143.5563,211.4017,0.0,101.0786,350.8845,209.5238,764.8094,0.0,33.871,0.0,1.9289,401.91,83.72,0.3244,16.86,2.02,16.8183,0.9789,0.2945,258.384,0.6576,4.08,0.1573,530.6746,2.0193,10.8,,,,0.4963,0.0156,-1
7,3086.52,2360.04,2204.2333,2110.8288,1.6392,89.0356,0.1245,1.4798,0.0046,0.0181,0.9781,202.4787,6.6848,417.9575,9.4661,0.9728,12.1298,1.3983,-5517.75,2499.75,-4421.25,9092.75,1.3125,1.986,74.5889,1.4667,85.3881,8.3179,66.0583,86.5962,120.1074,81.06,3.074,357.3091,10.2007,131.6845,729.8849,0.9627,138.89,627.8836,119.2026,4.646,4.907,2862.0,0.9272,0.9467,4.5863,2.1973,10.5132,113.8818,8.8436,17.8027,18.891,710.9939,1.4794,149.5355,622.3754,222.1145,,0.0055,0.0105,-0.0241,-0.0048,-0.0019,-0.0162,-0.0153,0.0137,6.8402,0.1273,,2.3695,0.9903,1806.7206,0.2084,8921.55,0.0,-0.0027,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0104,0.0,0.0,0.0,,,,,0.9499,0.0,754.9107,0.9906,58.9915,0.5915,0.9609,6.4091,15.9,3.816,15.85,2.911,3.394,0.0,1.002,2.3817,1010.6921,37.117,124,71.3,146.7,53.8,385.4899,0.3378,3.63,0.007,0.1239,0.0333,0.0375,0.0074,7.2096,5.33,9.521,0.3654,0.66,0.0633,483,477,2227,13013,0.151,0.213,0.303,1.4,1.6,0.145,0.379,0.5343,0.0469,0.3462,0.6495,0.6915,0.2429,0.284,19.98,0.258,5.66,25.139,0.048,18.295,0.283,11.76,19.4,0.221,9.91,14.72,11.76,13.723,38.862,0.1128,5.55,24.33,56.343,0.0834,0.0478,0.0494,0.0385,0.1001,0.0909,0.0871,0.0568,3.9605,0.0021,,0.0746,0.0019,116.5123,0.1259,1083.5005,0.0136,0.0117,0.003,0.0044,,,,,0.0192,2.7596,0.0192,0.2938,0.1102,17.561,5.2328,6.2556,6.0459,7.5834,,,,0.0,18.2625,720.0,207.7562,79.7329,50.3704,143.114,109.0909,140.3226,15.3478,535.2089,166.4478,25.3667,0.0,456.3246,204.9793,806.2827,0.0,561.9784,569.281,413.8434,509.6019,0.0,28.8462,0.0,0.9067,394.348,82.604,0.2772,16.51,2.3,30.5688,1.0359,0.4875,251.138,0.8752,12.56,0.2168,534.6127,2.2455,9.57,,,,0.4925,0.0145,-1
8,3048.76,2545.68,2224.6778,1308.6479,1.3907,101.1333,0.1208,1.4563,0.0075,0.0031,0.9679,199.0494,9.8057,407.5889,10.4536,0.9809,12.512,1.3924,-5122.5,2541.5,-3889.0,6309.25,1.296,1.9937,70.9889,1.9333,84.361,8.8624,66.2314,86.3364,118.3086,81.74,2.673,352.3055,10.3971,122.2509,711.3435,1.175,140.4,614.9564,54.1936,4.584,4.834,2855.0,0.9314,0.9483,4.6356,4.9118,10.751,107.1627,12.68,15.0882,19.2834,692.0602,1.0171,144.5373,602.2764,111.3778,,0.0216,-0.0643,-0.0092,0.045,-0.0215,0.0193,-0.0156,0.0089,7.44,0.1286,0.1152,2.4604,0.9896,1893.0174,0.1893,9060.0199,0.0118,-0.0004,0.0015,0.0,0.0,-0.0028,0.0,0.0,0.0286,-0.0114,0.0,0.0416,0.0501,0.9763,101.3633,233.3418,0.4691,0.9593,0.0,782.5507,0.9913,57.1869,0.5995,0.9693,6.223,15.75,3.235,15.8,2.783,3.153,0.7096,0.9962,2.2802,998.0122,37.2972,122,141.8,101.7,51.5,184.64,0.33,5.65,0.0033,0.1041,0.0616,0.0442,0.0088,6.2609,11.998,4.916,0.2378,0.2,0.0294,453,339,1237,21789,0.107,0.17,0.247,3.0,1.1,0.118,0.292,0.6458,0.1516,0.3272,0.631,0.8332,0.3278,0.26,14.82,0.413,4.37,26.363,0.2082,19.791,0.259,6.37,17.4,0.218,6.94,21.37,6.37,9.37,34.05,0.0966,7.04,21.37,92.365,0.0542,0.0323,0.0334,0.0266,0.0515,0.0167,0.0702,0.0412,3.936,0.0038,0.01,0.0748,0.0017,157.449,0.0305,493.0996,0.0121,0.0163,0.0035,0.0045,0.0061,0.4214,3.7503,0.0196,0.0109,1.6717,0.0359,0.1769,0.044,31.404,4.1345,5.1057,5.8436,6.3284,,,0.0027,0.0028,14.1092,815.894,0.0,122.3571,31.8077,345.3501,56.8966,70.7528,36.519,129.6872,168.5328,82.9294,250.7808,50.2528,364.0327,59.0783,239.5349,86.4166,450.7223,460.3352,0.0,0.0,30.837,0.0,,,,,,,,0.9978,0.6573,264.272,0.5671,4.98,0.0877,529.7436,2.2313,7.19,,,,0.5032,0.0129,-1
9,2984.06,2619.6,2225.0222,1730.848,1.5333,98.5978,0.1232,1.4696,0.0081,0.0063,0.9691,198.3282,8.6658,395.3408,9.7876,0.9718,12.3996,1.4083,-6469.5,2871.75,-4172.0,1490.25,1.0012,1.872,72.3444,2.2444,85.0449,8.5003,65.8981,87.1866,118.2436,79.53,4.022,352.1064,10.2313,130.8882,725.0493,1.4106,145.9082,628.9027,212.7667,4.571,4.806,2858.0,0.9329,0.9509,4.4953,4.8127,10.493,115.7009,8.7067,15.1873,16.9553,708.094,1.5099,153.4355,621.4909,227.2456,469.5413,0.0108,-0.0315,-0.0328,0.0532,-0.0335,-0.0087,-0.0187,-0.0253,8.425,0.1346,,2.441,0.9889,1852.564,0.183,8635.81,0.0,0.0028,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103,-0.0003,0.0,0.0,,,,,0.9436,0.0,747.0237,0.9905,59.0538,0.6032,0.9804,6.3777,15.75,3.235,15.8,2.783,3.153,0.7096,0.9962,2.2802,998.0122,37.2972,139,234.6,251.0,75.7002,227.376,0.3357,7.95,0.0084,0.093,0.0702,0.0642,0.0188,9.6695,4.647,7.841,0.4763,0.24,0.0714,420,386,1818,106,0.053,0.055,0.167,2.5,0.8,0.132,0.164,0.7346,0.0901,0.2104,0.4808,0.8148,0.2076,0.18,20.08,0.344,18.14,33.282,0.1787,47.538,0.293,11.24,21.46,0.597,27.02,16.68,11.24,13.485,34.955,0.1939,4.48,22.2,50.198,0.0475,0.1013,0.0371,0.0407,0.0755,0.0189,0.1042,0.0742,2.8442,0.0064,,0.0311,0.0024,79.6608,0.0855,921.4004,0.0121,0.0109,0.0049,0.0082,,,,,0.029,4.0584,0.0242,0.1978,0.044,31.404,4.1345,5.6728,6.2566,7.0124,7.1871,1.9614,,0.0,13.1367,870.6977,0.0,53.6245,43.5762,7.1129,35.6436,82.4427,22.3428,233.5472,191.5764,22.0898,438.7991,321.3323,113.196,76.5397,225.5836,217.8674,556.4753,293.5707,435.0562,0.0,47.5728,0.0,0.6281,399.33,80.764,0.327,13.49,1.62,52.06,0.9864,0.4298,264.272,0.5671,4.98,0.0877,534.1482,1.6633,10.92,0.0128,0.0193,151.193,0.4978,0.0133,-1
